,tweet,sentiment
0,i be schedule for the morning 2 day after the fact yes not sure why my even flight be the only one cancelled flightled,0
1,see your worker time in and time out go above and beyond be why i love fly with you guy thank you !,4
2,flew ord to miami and back and have great crew service on both leg thanks,4
3,that 's horse radish 😤🐴,0
4,so our flight into ord be delayed because of air force one but the last flight to sbn be at 8:20 5 min from now we just land,0
5,why do you load u in this fly sardine can if you knew the pilot be 2 hour late flight ? ? incompetent beyond belief,0
6,that be a stock response delays not a frustrate a poor cust serv amp be told by 3 pl to wait amp they 'd come back but do not,0
7,that 'd be nice ! hoping to rack up enough mile to take a trip to seattle and enjoy a perfect latte in the city of coffee,4
8,frankly bad customer service ever problems will happen how you deal defines a company never again united,0
9,yeah haha never be in one it 's ee_teaseensive 😂😂 and we will ! so much fun ! destinationdragons,4
10,mco- gte_winkca flight almost full of people screw by the msy-dca cancelled flightation and do not cancelled flight swa=mistake,0
11,what 's the easy way to get a ticket receipt ? can i get one at check in or can i get one online ? thanks !,2
12,love the change in the lounge cheese veggie olive in addition to the cracker and snack mix,4
13,i receive bad customer service and end up spending several hundred dollar to accommodate my family during each cxl flight,0
14,you 're kill me sche a flight to board 3 min after mine arrive with gate on other side of airport genious,0
15,8 week to refund this ticket 0372389047497 ? ! ? totally unacceptable fix this or i 'l put it on blast on social medium and tv,0
16,no private msg me and will provide detail u really need customer svc training for your staff,0
17,can you not ? rt our fleet 's on flek,0
18,any info on why flight 704 from sju to jfk be already delayed 2 1/2 hour ?,0
19,i 've try no less than 8 time today to get in touch with your service desk begin at 8:30 est i 'm have no luck -help !,0
20,new problem have wrong last name on reservation which be airway fix new ca not get through tsa,0
21,any possible chance of swa bring back service between lga-bwi ? it would make it much easy to connect to the west coast,2
22,who run the show at the airport have a boarding pas say u airway and i have to wait in american line yousuck,0
23,computer be down but you stop give update and take my flight info off the ap that 's just ridiculous keep people update !,0
24,good fly ! united businesfirst,4
25,i be fly from msp to dxb my child will turn 2 during the trip do i have to buy a return ticket for my child ?,2
26,love cancelled flightling ticket and not tell their customer flyunited,0
27,in ord wait 20 min after crew member left before gate item come flight attendant sarcastically say good luck and walk away,0
28,jason 108639 at gate 3 in san make my afternoon ! southwestairlines stelarservice thanks !,4
29,everything for sort out thanks for the help excited to get home tonight !,4
30,understand the weather but would be nice to hear an apology on the phone when you move my flight to an inconvenient day,0
31,and thanks !,4
32,it 's be book into first class with curbside delivery 24 hour from now i 'm counting on it ! teamusa,0
33,oh that totally look on par with admirals club any way you can slide u a couple pass ? E_WINK,4
34,we 've 15 official complaint sign by americanairlines lima supervisor customer relations pls compensate 4 the 10-hour delay,0
35,but the 4 hour policy- when i call and they say i do not report it soon enough what would have change if i have notice sooner ?,0
36,the most frustrate fly ee_teaseerience one continuous `` i duno what time you will leave today `` duno ? ! that 's code for ?,0
37,hi i just get a message that part of my flight be cancelled flightled i ca not rebok online and nobody answer my phone call help me,0
38,i need update on my flight 464 amp 3574 i have be on hold for over 2 hour,0
39,i 'm suppose to fly through dallas can you help me get a new itinerary ?,2
40,so you fail again flight to rdu sit wait on flight attendant your logistics be not good,0
41,i be impressed with your super-fast reply to,4
42,no i do not spoke with baggage contact at 1-800 number said they will try to get bag to stay at iad for pick up tmrw,0
43,who intentionally buy a flight with a 10 hour layover ? and what kind of airline would charge 200 to fix it ? wow usairways,0
44,do you do auto callback so i do not have to wait on hold ?,0
45,can i get your service desk at iad ?,2
46,your blue help bring out the color of my eye and i promise i do not eat all the free snack,4
47,yes ! E_LAUGH y from on instagram E_SMILEY,4
48,i do not report the update info do not know how to reach them without a super long wait on hold at your main number,0
49,i want to enter the family pool contest it say `` by 2/19 '' on the website can i please enter still !,2
50,and that you can choose the same seat for free after click 100 button,2
51,plus what about food ? and taxi ?,0
52,3hr30min right now any end in sight ?,0
53,you 're really go to let and get the best of you ?,0
54,claim flight cancelled flighted due to weather at destination but delta have not cancelled flighted flight on same route,0
55,thanks so much for help us u r amaze !,4
56,haha i do they say it be not their fault somehow ? you guy r a joke,0
57,your customer service be inferior to that of a nationalize third world nation 's airline get it together,0
58,why do your iphone ap not have any sort of notification option ?,0
59,thank you !,4
60,i 've be try to reach your customer service for two day i have receive zero response never travel aa again,0
61,flight 4567 agent now wander off pilots come out look for her went to charge her personal phone which she 'd be txting on,0
62,first you lose all my bag now you cancelled flight my flight home 30 min wait to talk to somebody porservice notgodenough,0
63,sat on a plane for 2+ hr on 2/15 ! then we finally take off E_FROWN,0
64,anywhere !,2
65,i have to spend more than the cost of the flight just to get a free room and transportation to and from the airport,0
66,understand the weather these kid need to get home ! nice kid do volunteer work from a ri high school please help,2
67,my friend need some help on her flt she 's not on twiter can i dm you her info ?,2
68,my mom ’ s flight tomorrow cancelled flighted w/ no notice phone system say callback in 2 hour and it ’ s be 4 i need to go to bed !,0
69,flight veers off icy runway at most dfw flight cancelled flighted mon figure right ?,0
70,could you tell me if this bag would be accepted a a personal item ? can i bring one cary-on bag plus this ?,2
71,yo you need a new website really badly this day and age,0
72,.what a great first night destinationdragons,4
73,right on up up amp away ✈️🌞,4
74,now about two dozen back in line to see a single csr for reflight booking problems final leg kiosks on fritz,0
75,why would you charge money to transfer point to someone ?,0
76,is it possible to earn dividend miles for a passenger that be not me even if i be purchasing the ticket ?,2
77,lmfao “ our fleet 's on flek,4
78,is there a phone line to call into that be not be affected by `` bad weather '' ? trying to book a vacation here 👀,2
79,i have never see such incompetency from a gate agent in year of business travel dfw b16 gate agent need training or new job,0
80,f623 dene_teasehx impressive lack of concern by 1hr+ late flight flight atndt wreck havoc on customer travel smugsmirk norush,0
81,have client with an 11 hr layover at iah during the day will they have to claim amp recheck luggage or will it be take care of ?,2
82,even so change could not be make online- instruct to call an agent- maybe the syastem should allow agent 2 link passenger !,0
83,you ca not claim `` weather '' with your hardworking crew pull seat out of a plane ! do the right thing but we both know you wo not,0
84,finally call ! ca not get met seattle so refund will be process thanks,4
85,just played the most bizarre `` safety '' video i 've ever see,2
86,i 'm not sure i do the message part right please let me know if you receive it,2
87,book the 8th save me an emergency exit got ta stretch out,2
88,do you not try to get customer to their destination ? no help to get on another airline if you have no flight for 3 day ?,0
89,no did not catch his name i be sure jason will know,2
90,yet another delay/mised connection and your customer service have an attitude with me ? wow,0
91,no access to dividend miles and for a week the automate phone keep tell me to call back late flightr frustrated livepersonplease,0
92,when will direct flight from belfast intl to newark resume from their winter break ? thanks,2
93,lgjw7b i voluntarily rerouted 1st leg of journey be in economy and be suppose to be 8b res agent say she 'd reserve it for me,2
94,nashville airport have runway open it appear southwest be only airline cancelled flighting flight is this likely to change ?,0
95,no my flight plan have be delayed until tuesday due to your computer crash,0
96,this be unbelievable thank you so much ! destinationdragons,4
97,big surprise nogate wait for our plane same fucken issue everything i fly you fail worstairlinever,0
98,tough night two 90 minute call on hold delayed here in phoenix for two day because of one aircraft not ready ? not acceptable,0
99,but it 's hard to stay upset at someone when they at least try to show remorse,0
100,50 min on hold try to book award flight because site error out agents ask for my pin to see platinum availability ? ? ? badbadbad,0
101,23 min on hold drove 2.5 hour to get my delayed bag i just want to pick it up at sju,0
102,how do i reserve my seat on the aa flight i transfer to from ord to evv ?,2
103,to start 3xdaily erj145 flight from chicago to evansville on 4jun avgek,2
104,flight 1136 from chicago to houston over 2 hour and no pretzel or peanut ? ! seriously about pass out,0
105,i left my comment with customer care thanks for contact me,4
106,they held the plane ! made it !,4
107,that 's ok. you may keep my 25 and lose my bag with no info but you no longer have my trust bad way to this,0
108,be that thestarter ? ? 😁,2
109,learning about your awesome twitter management today in my social media marketing class ! keep up the good work !,4
110,drop the ball again no catering plane switch no gate attendant 2 hour late flight really nice,0
111,good care of their customer if anything happen to then take you for get me back to nyc ! screw you,0
112,i do not think you should help him at all base on his behavior the voucher and cot seem like enough lol 😃,2
113,i think problem resolution should be decide on your end especially if you 'd like me to continue fly your airline,0
114,i 've be on hold for 36 min and counting cause you charge my credit card for bag but provide no receipt and say error awful,0
115,great looking forward to your response to my dm then,4
116,it 's my 21st birthday and my sister be come to celebrate but her flight keep cancelled flighting plz do all you can to get her here !,0
117,ur employee name van ticket counter in philadelphia extremely rude ! a father try to get home to sick kid miss flight,0
118,horrible ee_teaseerience ever with airline have to reconsider any future flight customer service,0
119,for tomorrow some site show flight 1642 from ewr cancelled flightled be it ?,0
120,i like the customer service but a 40 min delay just for connect passenger seem too long va370,0
121,cutest salt and pepper shaker ever just when i think you guy ca not get any well you just do !,4
122,unbelievable that i can not even wait on hold to speak to a human be to resolve my issue ! the system simply hang up !,0
123,continue to win i 've never miss a flight before but a nice little quiet gate change make it possible shesh,4
124,we even offer to fly in to another airport and they say they could not do that no ee_teaselanation why they ca not,2
125,the phone number the gate give me do not work either what be your customer service phone number ?,0
126,flight 1041 to savannah ga,2
127,yes but you be still human i hope deal with all the horror story people share i complain to dot everyone should,0
128,they be now be sent off the plane ? does anyone at jetblue have a clue ?,0
129,do you have all winner for destinationdragons,2
130,quick serious question any resources/ratings show the quality of service be well than 8th place ?,0
131,can you not get the first flight of the day off the ground on time ? 1531 let 's go,0
132,“ mobile boarding pass now available in ios passbook !,2
133,i 'm stuck in fort lauderdale,0
134,i clear that folder regularly and jetblue be white list so it never get to me,2
135,keep the flight cheap and early/on time and you be good flew and cancelled flightled my flight 4 time last month united gt,4
136,i believe it 's irina on the flip-side super disappointed that eatup cafe be not available on this bos -- gt sfo flight today,0
137,5534 that 's the flight i be place on after original flight to charlotte be cancelled flightled now 5534 be on 1hr delay,0
